,GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),Numeric,Value
788,SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",2009,SEX,SEX_MLE,38.74247,38.7 [35.9 - 41.8]
789,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2020,SEX,SEX_FMLE,22.4,22.4 [21.2-23.5]
790,NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,SEVERITY,SEVERITY_SEVERE,2.5,2.5 [1.6-3.6]
791,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1998,SEX,SEX_BTSX,32.63814,32.6 [30.7-34.5]
792,MORT_200,Deaths per 1 000 live births,2017,AGEGROUP,AGEGROUP_YEARS0-4,0.1949,0.2
793,MORT_200,Deaths per 1 000 live births,2006,AGEGROUP,AGEGROUP_YEARS0-4,2.44719,2.4
794,NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",1999,SEX,SEX_BTSX,4.4,4.4 [4.3-4.5]
795,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP60,2.9,2.9 [2.7-3.1]
796,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2000,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,0.1,0.1 [0 - 0.7]
797,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2020,SEX,SEX_FMLE,66969.0,66 969 [59 603-74 999]
798,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1984,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,1.15,1.15
799,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2008,SEX,SEX_FMLE,22.81575,22.8 [21.2-24.4]
800,WHOSIS_000001,Life expectancy at birth (years),2014,SEX,SEX_MLE,67.3525,67.4 [67.0-67.8]
801,MORT_200,Deaths per 1 000 live births,2005,AGEGROUP,AGEGROUP_YEARS0-4,5.35115,5.4
802,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2010,SEX,SEX_BTSX,6.35486,6.4 [6.1-6.6]
803,PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",2017,,,0.0,0.12
804,P2_education,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,2020,,,0.0,Yes
805,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.0,0 [0 - 2.53]
806,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1992,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,656.8653,656.87 [493.78 - 779.2]
807,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2005,SEX,SEX_BTSX,13.73852,13.7 [13.2-14.3]
808,CM_01,Number of under-five deaths,2009,SEX,SEX_BTSX,1639909.0,1 639 909 [1 565 538-1 724 512]
809,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1997,SEX,SEX_BTSX,33.13422,33.1 [31.1-35.1]
810,SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",2018,SEX,SEX_BTSX,31.0662,31.1 [28.6 - 33.9]
811,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,AGEGROUP,AGEGROUP_DAYS0-27,0.20688,0.2
812,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2009,SEX,SEX_MLE,6.76894,6.8 [3.2 - 10.5]
813,SDGSUICIDE,Crude suicide rates (per 100 000 population),2005,SEX,SEX_BTSX,15.4507,15.5 [12.2-18.1]
814,NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2004,SEVERITY,SEVERITY_SEVERE,4540.0,4540 [2720-6680]
815,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1971,SEX,SEX_FMLE,131.95443,132.0 [125.2-139.0]
816,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",2016,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,0.19987,0.2
817,NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2012,SEX,SEX_FMLE,52.60149,52.6 [45.3-59.2]
818,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1999,SEX,SEX_FMLE,66.6,66.6 [64.8-68.3]
819,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1976,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,1.04,1.04
820,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2005,SEVERITY,SEVERITY_MILD,66200.0,66200 [59000-72500]
821,O_NRT_where,Nicotine replacement therapy - place available,2007,,,0.0,In a general store without a prescription
822,NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",2004,SEX,SEX_BTSX,3.4,3.4 [3.3-3.4]
823,W9_no_obscure_B,Health warnings on other smoked tobacco packaging must not be obscured in any way including by required markings such as tax stamps,2007,,,0.0,Yes
824,TB_ret_nrel,"Previously treated  cases, excluding relapse",2010,,,182281.0,182281
825,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.3,0.3 [0 - 1.8]
826,WHS3_41,Diphtheria - number of reported cases,1976,,,21825.0,21 825
827,PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),1990,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,96.58482,96.58 [33.07 - 195.8]
828,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1992,AGEGROUP,AGEGROUP_MONTHS12-17,2.9,2.9 [2.2-3.7]
829,PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",2021,,,0.0,0.18
830,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2010,SEX,SEX_BTSX,3.65101,3.7 [3.4-3.9]
831,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2008,SEX,SEX_BTSX,16.0195,16.0 [15.4-16.6]
832,AIR_11,Household air pollution attributable deaths,2019,SEX,SEX_MLE,441002.75,441 003 [237 481-660 052]
833,SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2001,SEX,SEX_MLE,8.20882,8.2 [7.3 - 9.1]
834,WSH_SANITATION_OD,Population practising open defecation (%),2010,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,57.81551,58
835,SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),2006,,,34.9,34.9
836,MORT_200,Deaths per 1 000 live births,2008,AGEGROUP,AGEGROUP_MONTHS1-59,2.31496,2.3
837,W-MM_Group,Anti-tobacco mass media campaigns,2016,,,0.0,4
838,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,SEX,SEX_FMLE,30.2,30.2 [29.0-31.5]
839,NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),2015,SEX,SEX_FMLE,46.37514,46.4 [35.9-57.0]
840,GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",2017,,,0.0,Capital and main cities only
841,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2017,SEVERITY,SEVERITY_MODERATE,25.3,25.3 [19.0-31.4]
842,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),2009,SEX,SEX_BTSX,13.12169,13.1 [12.6-13.7]
843,GHED_EXT_pc_US_SHA2011,External health expenditure (EXT) per capita in US$,2008,,,0.71,0.71
844,MORT_200,Deaths per 1 000 live births,2009,AGEGROUP,AGEGROUP_YEARS0-4,4.54699,4.5
845,NCD_DTH_TOT,Total NCD Deaths (in thousands),2016,SEX,SEX_MLE,3102469.0,3102469 [2394374-3966059]
847,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2019,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.2,0.2 [0 - 1.3]
849,MORT_100,Number of deaths,2007,SEX,SEX_BTSX,79431.06388,79431.06388
850,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2006,SEX,SEX_FMLE,47.8,47.8 [46.7-48.8]
851,SDGPM25,Concentrations of fine particulate matter (PM2.5),2015,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,55.47851,55.48 [52.72-57.77]
852,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),2020,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,92.1456,92
853,MORT_200,Deaths per 1 000 live births,2012,AGEGROUP,AGEGROUP_MONTHS1-59,0.00611,0
854,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),2019,SEX,SEX_FMLE,13.7176,14 [6-25]
855,MORT_100,Number of deaths,2015,SEX,SEX_BTSX,24141.0249,24141.0249
856,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1995,SEX,SEX_MLE,42.66393,42.7 [39.8-45.6]
858,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1993,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,0.0,0 [0 - 0.9]
859,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2014,SEX,SEX_MLE,28.53788,28.5 [27.0-30.1]
860,CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2019,SEX,SEX_FMLE,4.08826,4.1 [3.7-4.5]
861,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2015,SEX,SEX_MLE,29.4656,29.5 [27.8-31.1]
862,NCD_CCS_TobPlan,Existence of operational policy/strategy/action plan to decrease tobacco use,2019,,,0.0,Yes
863,W13_ind_liability_A,Health warnings on cigarette packaging do not remove or diminish the liability of the tobacco industry,2007,,,0.0,No
864,MORT_200,Deaths per 1 000 live births,2017,AGEGROUP,AGEGROUP_DAYS0-27,0.17139,0.2
865,HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),2017,,,117.0,117 [114-120]
866,SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",2002,SEX,SEX_MLE,22.53985,22.5 [6.9 - 41.1]
867,MORT_200,Deaths per 1 000 live births,2007,AGEGROUP,AGEGROUP_MONTHS1-59,1.43393,1.4
868,WHOSIS_000001,Life expectancy at birth (years),2006,SEX,SEX_FMLE,67.3295,67.3 [66.9-67.8]
869,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",2013,SEX,SEX_FMLE,22.32978,22.3 [21.1-23.6]
870,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),1998,SEX,SEX_FMLE,5.8,5.8 [3.9-8.1]
871,MORT_100,Number of deaths,2014,SEX,SEX_BTSX,1916.7327,1916.7327
872,UHC_SCI_NCD,UHC Service Coverage sub-index on noncommunicable diseases,2005,,,37.7172,38
873,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2004,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,64.9,64.9 [46.6 - 80.7]
874,AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",2019,SEX,SEX_FMLE,250.32052,250 [105-469]
876,HWF_0010,"Dentists (per 10,000)",2009,,,0.855,0.855
877,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2010,SEX,SEX_MLE,2.45272,2.5 [2.2-2.7]
878,MORT_200,Deaths per 1 000 live births,2017,AGEGROUP,AGEGROUP_YEARS0-4,0.79391,0.8
879,MORT_MATERNALNUM,Number of maternal deaths,2006,,,67573.60848,67 574 [60 612-79 018]
880,PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2012,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,18.3,18.3 [10.3-29]
881,WHOSIS_000001,Life expectancy at birth (years),2006,SEX,SEX_BTSX,65.87842,65.9 [65.5-66.5]
882,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",1985,SEX,SEX_BTSX,1.1,1.1 [0.9-1.2]
883,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1994,SEX,SEX_BTSX,0.11532,0.1 [0.1-0.2]
884,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,AGEGROUP,AGEGROUP_MONTHS54-59,16.6,16.6 [15.8-17.3]
885,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),2003,SEX,SEX_MLE,5.43434,5.43 [5.25-5.61]
886,NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2004,SEVERITY,SEVERITY_TOTAL,84600.0,84600 [73600-93300]
887,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2012,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,7.59149,7.59 [2.0 - 17.98]
888,SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),2008,,,47.1,47.1
889,GDO_q2x1x3,Targets for monitoring implementation of dementia national plan,2017,,,0.0,Not applicable
890,HWF_0005,Medical doctors not further defined (number),2018,,,927447.0,927 447
891,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1999,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,66.3,66.3 [48.2 - 82]
892,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",2010,SEX,SEX_BTSX,1.0,1.0 [1.0-1.1]
893,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2000,SEX,SEX_MLE,274991.9,274992 [220550-335749]
894,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1999,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,4.5,4.5 [1.9 - 8.4]
895,FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",2000,AGEGROUP,AGEGROUP_AGE60+,4.41,4.41
896,PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2022,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,339.41641,339.42 [224.47 - 464.32]
897,PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2011,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,62.8,62.8 [44.4 - 79.6]
899,HEMOGLOBINLEVEL_CHILDREN_MEAN,Mean hemoglobin level of children aged 6-59 months,2000,,,101.0,101 [98-104]
900,MORT_100,Number of deaths,2003,SEX,SEX_BTSX,371633.69654,371633.69654
901,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2017,AGEGROUP,AGEGROUP_MONTHS48-59,35.5,35.5
902,PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2013,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,687.68554,687.69 [593.79 - 762.47]
903,SA_0000001821,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average",2009,,,1.76547,1.8 [0.0 - 3.6]
904,M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%),2000,SEX,SEX_MLE,30.8,30.8 [23.3-38.4]
905,MORT_200,Deaths per 1 000 live births,2003,AGEGROUP,AGEGROUP_DAYS0-27,0.55676,0.6
906,MORT_200,Deaths per 1 000 live births,2000,AGEGROUP,AGEGROUP_YEARS0-4,2.85365,2.9
907,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2006,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,35.5,35.5 [34.4-36.6]
908,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2014,SEX,SEX_MLE,30.32037,30.3 [28.7-31.9]
909,MORT_200,Deaths per 1 000 live births,2002,AGEGROUP,AGEGROUP_DAYS0-27,0.58627,0.6
910,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2006,AGEGROUP,AGEGROUP_YEARSALL,20.0,20.0 [19.4-20.6]
911,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",1997,SEX,SEX_FMLE,1.1,1.1 [1.0-1.1]
912,W18_misleading_terms_C,Ban on deceitful terms on smokeless tobacco packaging,2020,,,0.0,Yes
913,O_Cytisine_where,Cytisine - place available,2014,,,0.0,. . .
914,NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2000,SEX,SEX_FMLE,55.52046,55.5 [46.5-63.5]
915,M_Est_tob_curr,Estimate of current tobacco use prevalence (%),2030,SEX,SEX_FMLE,6.9,6.9 [4.9-8.9]
916,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2013,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,55.1,55.1 [36.1 - 73]
917,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2006,SEX,SEX_MLE,46.5,46.5 [43.8-49.3]
918,P_Group,Protecting people from tobacco smoke,2016,,,0.0,4
919,W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,2014,,,0.0,Yes
920,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2020,SEX,SEX_MLE,6.3,6.3 [5.9-6.6]
921,NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2005,SEVERITY,SEVERITY_SEVERE,4210.0,4210 [2440-6290]
922,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,SEX,SEX_BTSX,2.71026,3 [2-4]
923,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2017,AGEGROUP,AGEGROUP_MONTHS6-8,22.4,22.4
924,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",1991,SEX,SEX_MLE,39.63358,39.6 [36.7-42.4]
925,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2001,SEX,SEX_FMLE,25.06388,25.1 [22.9-27.2]
926,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2009,SEX,SEX_FMLE,1.73662,1.7 [1.4-2.1]
928,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,2015,,,58.35,58.35
929,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2018,SEX,SEX_BTSX,106318.0,106 318 [99 512-113 389]
930,CM_01,Number of under-five deaths,2011,SEX,SEX_BTSX,1450016.0,1 450 016 [1 383 042-1 521 758]
931,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2011,SEX,SEX_MLE,16.61977,16.6 [15.8-17.5]
932,M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%),2021,SEX,SEX_FMLE,0.5,0.5 [0.4-0.6]
933,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),2005,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,10.27823,10
934,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1995,SEX,SEX_BTSX,1.19665,1.2 [1.1-1.3]
935,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),1986,SEX,SEX_MLE,5.16799,5.17 [4.68-5.66]
936,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2009,SEX,SEX_BTSX,10.77839,10.8 [10.1-11.4]
937,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",1987,SEX,SEX_FMLE,1.1,1.1 [0.9-1.2]
938,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2001,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,25.9,25.9 [16 - 37.6]
939,NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",1994,SEX,SEX_BTSX,4.4,4.4 [4.2-4.5]
940,AIR_51,Household air pollution attributable death rate (per 100 000 population),2019,SEX,SEX_BTSX,8.7005,9 [5-13]
941,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1992,AGEGROUP,AGEGROUP_MONTHS12-23,58.7,58.7 [57.0-60.3]
943,GDO_q10x2_HOSUE,Availability of atleast one housing adjustment for people with dementia,2017,,,0.0,Not Reimbursable
944,WHS3_62,Measles - number of reported cases,2014,,,26530.0,26 530
945,M_Est_cig_curr_std,Estimate of current cigarette smoking prevalence (%) (age-standardized rate),2022,SEX,SEX_FMLE,0.5,0.5 [0.3-0.6]
946,W19_colours_numbers_A,Cigarette packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,2014,,,0.0,Yes
947,GDO_q12x2x1x1_5PRV,Majority provider of information on financial benefits/social protection for dementia carers (Private sector),2017,,,0.0,No
948,W20_flavours_A,Cigarette packaging and labelling must not use descriptors depicting flavours,2020,,,0.0,No
949,WHS4_154,Antenatal care coverage - at least four visits (%),1993,,,26.9,26.9
950,Camp_mat_tested,Campaign was pre-tested,2022,,,0.0,Yes
951,NCD_DTH_TOT,Total NCD Deaths (in thousands),2019,SEX,SEX_BTSX,6046960.0,6046960 [4261184-8224334]
952,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1973,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,0.01,0.01
954,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2008,SEX,SEX_FMLE,82393.0,82 393 [76 033-89 108]
955,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1999,SEX,SEX_MLE,2.9,2.9 [2.3-3.6]
956,NCD_CCS_cervicalcancerscreening,Existence of national screening program for cervical cancer,2021,,,0.0,Yes
957,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1999,WEALTHQUINTILE,WEALTHQUINTILE_TOTL,51.0,51.0 [50.2-51.8]
958,NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2014,SEX,SEX_BTSX,4.3,4.3 [4.1-4.4]
959,RSUD_740,Health professionals providing treatment for alcohol and drug use disorders,2014,RSUDHWF,RSUDHWF_OUTREACH_FIELD_WORKERS,0.0,Yes
960,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1991,SEX,SEX_MLE,5.64624,5.6 [4.9-6.4]
961,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2015,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,13.4,13.4 [6.2 - 23.9]
962,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2002,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,0.0,0 [0 - 5.45]
964,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2011,SEX,SEX_MLE,43.76581,43.8 [41.6-46.0]
965,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2016,SEX,SEX_MLE,26.86115,26.9 [25.1-28.6]
966,CM_02,Number of infant deaths,1993,SEX,SEX_MLE,1155324.0,1 155 324 [1 112 529-1 201 185]
967,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2012,SEX,SEX_BTSX,26.2898,26.3 [25.2-27.4]
968,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),2000,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,47.79894,48
969,W7_rotation_A,Are the health warnings on cigarette packaging rotating?,2020,,,0.0,Yes
970,PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2021,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,57.1,57.1 [44-69.5]
971,MORT_100,Number of deaths,2009,SEX,SEX_BTSX,31080.13978,31080.13978
972,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,SEX,SEX_MLE,21.7,21.7 [21.4-22.1]
973,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),2002,SEX,SEX_MLE,19.66206,19.7 [12.0-28.8]
974,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),1989,SEX,SEX_FMLE,5.17996,5.18 [4.78-5.58]
975,NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",1981,SEX,SEX_BTSX,3.1,3.1 [2.9-3.4]
976,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2012,SEX,SEX_FMLE,23.84314,23.8 [22.3-25.5]
977,MORT_200,Deaths per 1 000 live births,2015,AGEGROUP,AGEGROUP_DAYS0-27,0.0,0
